review_rank,priority_score,dataset_name,validation_status,issue_id,paper_title,assistant_label,assistant_confidence,evidence_source,support_count,support_models,model_snapshot,risk_flags,review_action,evidence_span,review_excerpt,aligned_response_excerpt,revision_summary
25,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,cknAewsBhD__r04,EGSST: Event-based Graph Spatiotemporal Sensitive Transformer for Object Detection,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for your constructive feedback. We have carefully revised the manuscript based on your suggestions, particularly regarding the clarity of function definitions and the roles of specific modules. We hope these revisions meet your expectations and ask for your reconsideration during the review process. We are committed to addressing any further questions or requirements during the discussion period. **W1.**...","[weaknesses] 1. In section 3.3, the author claims that the SSM module mimics the human eye to output the degree of object dynamics in the event stream. This metric is measured by the number of events and the time span of each subgraph...","Thank you for your constructive feedback. We have carefully revised the manuscript based on your suggestions, particularly regarding the clarity of function definitions and the roles of specific modules. We hope these revisions meet your...","**W1.** We greatly appreciate your evaluation and suggestions regarding our integration of Graph and Transformer technologies. In our integrated framework, there are two key aspects: 1) Interaction Mechanism between SSM and TAC: The..."
26,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,cuO0DenqMl__r01,Wasserstein Gradient Boosting: A Framework for Distribution-Valued Supervised Learning,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=partially_fixed; mpnet=fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for your strong endorsement of our work. We also believe that WGBoost is a promising direction that connects Wasserstein dynamics and gradient boosting ensemble for the first time. &nbsp; > Authors did not specify details about the hyperparameter selection for Conditional Density Estimation, Classification and OOD Detection tasks. Thank you for raising this point. We will add a clarification about the...","[weaknesses] Authors did not specify details about the hyperparameter selection for Conditional Density Estimation, Classification and OOD Detection tasks. Misc: There is a typo in the line no 284, root is written as room. [questions] I...",Thank you for your strong endorsement of our work. We also believe that WGBoost is a promising direction that connects Wasserstein dynamics and gradient boosting ensemble for the first time. &nbsp; > Authors did not specify details about...,"Thank you for your constructive feedback to our work. We respond to each of your comments and concerns below. We hope that these responses will open up room for an upward revision of the score of our work. (In our response below, citation..."
27,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,cuO0DenqMl__r02,Wasserstein Gradient Boosting: A Framework for Distribution-Valued Supervised Learning,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for your constructive feedback to our work. We respond to each of your comments and concerns below. We hope that these responses will open up room for an upward revision of the score of our work. (In our response below, citation numbers such as [9] and [10] correspond to references in our manuscript.) &nbsp; > For a paper on trees, I find the experiments quite small scale and limited ... / ... large scale...","[weaknesses] Originality: - Nothing really noted. Being a straightforward application of some machinery is totally fine. Quality: - For a paper on trees, I find the experiments quite small scale and limited. I would have expected NLL...","Thank you for your constructive feedback to our work. We respond to each of your comments and concerns below. We hope that these responses will open up room for an upward revision of the score of our work. (In our response below, citation...","Thank you for your constructive feedback to our work. We respond to each of your comments and concerns below. We hope that these responses will open up room for an upward revision of the score of our work. (In our response below, citation..."
28,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,cuO0DenqMl__r04,Wasserstein Gradient Boosting: A Framework for Distribution-Valued Supervised Learning,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for your strong endorsement of our work. We are delighted that you have found our methodology well-written and intriguing. &nbsp; > Did you compare between the different algorithms (i.e. with and without Wasserstein Hessian preconditioner, and Kernel vs Langevin approximation) on the benchmark of Section 4.2? Thank you for raising this point. So far we have compared them only through the simulation study...","[weaknesses] The paper is good overall in my opinion, but still has some weaknesses. - Experiments focus on KL divergence functional. - No theoretical analysis [questions] Did you compare between the different algorithms (i.e. with and...",Thank you for your strong endorsement of our work. We are delighted that you have found our methodology well-written and intriguing. &nbsp; > Did you compare between the different algorithms (i.e. with and without Wasserstein Hessian...,"Thank you for your constructive feedback to our work. We respond to each of your comments and concerns below. We hope that these responses will open up room for an upward revision of the score of our work. (In our response below, citation..."
29,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,gcpeEg88R3__r04,Quasi-Bayes meets Vines,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"# Reply 1: We did not mean to alienate readers, and will modify the text according to your suggestions. For the camera ready, we will use your phrasing for the abstract and use more neutral expressions in the introduction, citing papers emanating from [25] as evidence of an active area of research instead. Reply 2: Please see point 1 in the main reply. # Reply 3,5,6,14: We appreciate your judgement and removed the...","[weaknesses] ## Major 1. p1 L1 I would avoid flattering formulations like ""[25] initiated a new era of Bayesian computation"" and L33 ""[25] heralded a revolution in Bayesian methods"", ""liberating Bayes"". While you are free to think it and...","# Reply 1: We did not mean to alienate readers, and will modify the text according to your suggestions. For the camera ready, we will use your phrasing for the abstract and use more neutral expressions in the introduction, citing papers...","# Reply to weakness 1 We appreciate your recommendation on this. Following your and other reviewer's comments, we have (1) interchanged subscripts and superscripts between dimension and predictive step, (2) added an introduction of vines..."
30,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,hOcsUrOY0D__r04,Attack-Aware Noise Calibration for Differential Privacy,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"> The neighbourhood relation is inconsistent: Section 2.1 describes substitute neighbourhood, while Section 2.2 describes add/remove neighbourhood. Thank you for pointing this out! Our analyses are independent of the choice of the neighborhood relation, and our experiments are done with the add-remove relation. We will remove the substitution relation in Section 2.1 paragraph “Setup and notation”, mention that we...","[weaknesses] Some parts of the proof of Theorem 3.4, the main theorem of the work, are not fully clear, and could be missing details needed to make them fully correct. I've collected these points in the Questions section. I think the...","> The neighbourhood relation is inconsistent: Section 2.1 describes substitute neighbourhood, while Section 2.2 describes add/remove neighbourhood. Thank you for pointing this out! Our analyses are independent of the choice of the...","We would like to thank all the reviewers for their time and feedback. We are glad the reviews found that our framework addresses an important technical problem (pcXQ), provides significant theoretical contributions (pcXQ), and compelling..."
31,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,iEeiZlTbts__r01,No Regrets: Investigating and Improving Regret Approximations for Curriculum Discovery,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=partially_fixed; mpnet=fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Dear reviewer, thank you for your thorough review and helpful suggestions! We also appreciate you mentioning that our paper ""includes many contributions"" and ""could help to move further ACL research toward more promising directions."" Please find our responses and changes below. # Hyperparameters and UED underperformance As rightfully requested by the reviewer, we have performed extensive hyperparameter tuning for...","[weaknesses] The main weakness of the paper is the claim that domain randomization and their new heuristic outperform all UED algorithms, which is not entirely convincing from the results. The PLR hyperparameters used in this work are...","Dear reviewer, thank you for your thorough review and helpful suggestions! We also appreciate you mentioning that our paper ""includes many contributions"" and ""could help to move further ACL research toward more promising directions.""...","Thank you for your positive review, particularly highlighting that our paper is ""technically sound"" and that the learnability score is ""original"". Please find our responses to your comments below. > Lines 15-17. Suggest to delete spurious..."
32,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,m5dyKArVn8__r03,How many classifiers do we need?,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for your positive review of our paper; we greatly appreciate your comments and questions. [Weakness 1] Please see the general response: we hope that the newly presented form of Theorem 1 addresses your concerns. In the original wording, we state that an $\eta$ greater than the stated lower bound is guaranteed. This is true, but one should pick the best possible $\eta$ for the task, which is what the newly...","[weaknesses] The conjecture of the neural polarity is somewhat lacking in evidence given the generality of the statement. While Figure 1 provides some empirical evidence for a variety of models and hyperparameters, only the relatively...",Thank you for your positive review of our paper; we greatly appreciate your comments and questions. [Weakness 1] Please see the general response: we hope that the newly presented form of Theorem 1 addresses your concerns. In the original...,Thank you for your positive review of our paper; we greatly appreciate your comments and questions. [Weakness 1] Please see the general response: we hope that the newly presented form of Theorem 1 addresses your concerns. In the original...
33,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,m6pVpdIN0y__r03,Neglected Hessian component explains mysteries in sharpness regularization,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We thank the reviewer for their comments, and will fix the errors noted. We address some selected concerns below. _In terms of the use of second derivatives the manuscript sends a bit of a mixed message._ The overall point about second derivatives is a bit subtle; our work suggests that second derivatives in the _update rule_ are helpful (get full NME information in HVP). In contrast, the full Hessian trace penalty...",[weaknesses] In terms of the use of second derivatives the manuscript sends a bit of a mixed message. The initial experiment in Section 4 seems to show that accurate second-order information of the model is useful when using gradient...,"We thank the reviewer for their comments, and will fix the errors noted. We address some selected concerns below. _In terms of the use of second derivatives the manuscript sends a bit of a mixed message._ The overall point about second...",We would like to thank the reviewer for their insightful review. We address the reviewer's questions and suggestions below. _How do you solve SAM? Have you also neglected the second-order term in your empirical analysis? What would be the...
34,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,nF34qXcY0b__r04,Identification of Analytic Nonlinear Dynamical Systems with Non-asymptotic Guarantees,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thanks for your valuable comments! --- `Q1`: **Bounded noises/inputs** `A`: First, we politely point out that, though **linear** control usually considers unbounded noises/inputs, bounded noises/inputs are commonly studied in many **nonlinear** control literature (Mania et al. 2022, Shi et al. 2021, Kim et al. 2024). Second, even for nonlinear control papers with unbounded noises/inputs, they usually impose...","[weaknesses] - Many of the assumptions are restrictive, such as bounded noises and inputs. Moreover, the inputs should also be i.i.d. (or should have an additive i.i.d. exploration noise, for the closed-loop case) which is unrealistic. -...","Thanks for your valuable comments! --- `Q1`: **Bounded noises/inputs** `A`: First, we politely point out that, though **linear** control usually considers unbounded noises/inputs, bounded noises/inputs are commonly studied in many...","Thank you very much for your helpful suggestions! We discuss your concerns and suggestions below. (For figures, please refer to rebuttal.pdf) ----- `Weakness 1 & Limitation`: **On actively designing experiments in certain scenarios** `A:`..."
35,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,owuEcT6BTl__r02,Emergence of Hidden Capabilities: Exploring Learning Dynamics in Concept Space,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Dear reviewer G81k, We thank the reviewer for their very detailed feedback. We are happy you found our findings in 4.4 “surprising and notable”, just the way we felt, and 5. and 4.2 “helpful” and “useful”. In response to your comments and concerns, we have added:\ (i) A clear definition and clarification of ``Capability” in Sec. 3.\ (ii) A demonstration that turns in concept space corresponds to emergence of...","[weaknesses] As noted above, I think there are several interesting findings in this manuscript. However, in its current stage, I believe that it falls short of its stated goals. More specifically: 1. As far as I can tell, sections 4.1-4.3...","Dear reviewer G81k, We thank the reviewer for their very detailed feedback. We are happy you found our findings in 4.4 “surprising and notable”, just the way we felt, and 5. and 4.2 “helpful” and “useful”. In response to your comments and...","Dear Reviewers, We would like to thank the reviewers for their thoughtful feedback and for recognizing the value of our work. We are pleased that all reviewers found our main contributions, particularly the introduction of the “concept..."
36,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,qOSFiJdVkZ__r02,Continual learning with the neural tangent ensemble,unresolved,low,aligned_response_excerpt,1,modernbert,issue_ledger=fixed; modernbert=unresolved; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you for appreciating the theoretical novelty and generality of the NTE idea. Following these suggestions, we have implemented several more empirical characterizations with modern CNN architectures and the more complicated CIFAR-100 incremental learning task. We would like to emphasize that the contributions of our theoretical work can be somewhat separated from the experiments. Our theory provides a rigorous...","[weaknesses] To me, the largest limitation of this paper is the empirical validation. Although the paper includes empirical results that support the theoretical claims, the scope of experiments could be expanded. The experiment is...","Thank you for appreciating the theoretical novelty and generality of the NTE idea. Following these suggestions, we have implemented several more empirical characterizations with modern CNN architectures and the more complicated CIFAR-100...","For Q1 and Q2, there are really two possible statements in question. The first is whether a particular network at any single moment in time can be seen as an ensemble of valid classifiers. Theorem 1 describes how this is always the case as..."
37,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,qOSFiJdVkZ__r03,Continual learning with the neural tangent ensemble,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"For Q1 and Q2, there are really two possible statements in question. The first is whether a particular network at any single moment in time can be seen as an ensemble of valid classifiers. Theorem 1 describes how this is always the case as long as the network is Lipschitz, as one could construct a seed point for the Taylor expansion arbitrarily close to the network. This result stands alone, and could be used in...","[weaknesses] I feel that the contribution is valuable, but some settings might be difficult to realize in the context of NTK, even with an infinite limit. I might be able to deepen my understanding through the answers to the questions, so...","For Q1 and Q2, there are really two possible statements in question. The first is whether a particular network at any single moment in time can be seen as an ensemble of valid classifiers. Theorem 1 describes how this is always the case as...","For Q1 and Q2, there are really two possible statements in question. The first is whether a particular network at any single moment in time can be seen as an ensemble of valid classifiers. Theorem 1 describes how this is always the case as..."
38,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,qOSFiJdVkZ__r04,Continual learning with the neural tangent ensemble,unresolved,low,aligned_response_excerpt,1,modernbert,issue_ledger=fixed; modernbert=unresolved; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,">The claim that Bayesian ensembles of fixed functions are natural continual learners does not seem obvious to me.... We have added a Lemma that describes more precisely why weighing fixed functions according to their posterior probability is a learning strategy which does not depend on the order of the data. To your second point, since the weights reflect the posterior probability, they must sum to 1. This makes it...","[weaknesses] The claim that Bayesian ensembles of fixed functions are natural continual learners does not seem obvious to me. In the infinite-width I buy it, but for finite networks, it seems like it would be possible to prune all of the...",>The claim that Bayesian ensembles of fixed functions are natural continual learners does not seem obvious to me.... We have added a Lemma that describes more precisely why weighing fixed functions according to their posterior probability...,"For Q1 and Q2, there are really two possible statements in question. The first is whether a particular network at any single moment in time can be seen as an ensemble of valid classifiers. Theorem 1 describes how this is always the case as..."
39,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,qo7NtGMr2u__r01,Symmetry Discovery Beyond Affine Transformations,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We thank the reviewer for their comments. We have responded below to the concerns raised. **Pre-determined models**: We believe that we are the first to detect continuous symmetries in the context of machine learning beyond the affine group, despite work on the subject spanning decades. Our method of estimating vector fields is regression with general additive models, where the coefficients of the model features are...","[weaknesses] While the title of the manuscript is quite general, their method seems to highly rely on choice of pre-determined models for machine learning functions (Sec. 3.1) and vector fields (Sec. 3.2). However, no experiment addresses...",We thank the reviewer for their comments. We have responded below to the concerns raised. **Pre-determined models**: We believe that we are the first to detect continuous symmetries in the context of machine learning beyond the affine...,"We thank the reviewer for their response. First, we acknowledge the reviewer's point that the cosine similarity evaluation metric used in the non-affine symmetry detection experiment is incomplete. When a GT vector field is not strictly..."
40,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,rniiAVjHi5__r03,"Universality of AdaGrad Stepsizes for Stochastic Optimization: Inexact Oracle, Acceleration and Variance Reduction",unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=fixed; structured=fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thanks for the positive evaluation! ## Major remarks 1. It seems there is a certain misunderstanding of Ass. 6, which we hope to clarify. Basically, Ass. 6 is satisfied for finite-sum problems with (Hölder) smooth components (see also lines 186-194 in the paper for a more general example). The motivation is as follows. Ass. 6 is the generalization of $\mathbb{E}\_{\xi}[\\| g(x, \xi) - g(y, \xi) \\|^2] \leq 2 L...","[weaknesses] - The contributions are fairly niche. Universality of (accelerated) SGD with modified AdaGrad step-sizes is known [14], Adagrad is known to converge without bounded variance [2], and AdaGrad step-sizes have been used with...","Thanks for the positive evaluation! ## Major remarks 1. It seems there is a certain misunderstanding of Ass. 6, which we hope to clarify. Basically, Ass. 6 is satisfied for finite-sum problems with (Hölder) smooth components (see also...",Thank you for the positive evaluation of our work. Below you can find the answers to your questions / comments. > The prior knowledge is also not required in UniXGrad[28] and AcceleGrad[32]. > What is the difference between them and the...
41,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,uSKzEaj9zJ__r01,Nonlocal Attention Operator: Materializing Hidden Knowledge Towards Interpretable Physics Discovery,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We thank the reviewer for the valuable comments and suggestions. Our response: **Number of trainable parameters and computational complexity**: Denoting $(N,d,d_k,L,n_{train})$ as the size of the spatial mesh, the number of data pairs in each training model, the column width of the query/key weight matrices $W^Q$ and $W^K$, the number of layers, and the number of training models, the number of trainable parameters...","[weaknesses] 1. The experimental evaluation is limited to relatively simple PDE systems. It's unclear how well NAO would scale to more complex, high-dimensional PDEs encountered in real-world applications. 2. The interpretability claims...","We thank the reviewer for the valuable comments and suggestions. Our response: **Number of trainable parameters and computational complexity**: Denoting $(N,d,d_k,L,n_{train})$ as the size of the spatial mesh, the number of data pairs in...","We thank the reviewer for their valuable time and constructive suggestions. We have generated more families of kernels, and performed additional tests on three different training settings (diverse tasks, single task with diverse function..."
42,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,yCh1z6Dcto__r01,Stepping Forward on the Last Mile,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We would like to express our gratitude to the reviewers for their careful review of our paper, and their interest in the core idea of our work. We appreciate all the feedback, valuable suggestions and recommendations. The comments regarding notations, technical discussions, experimental clarifications are well taken, and the manuscript will be revised accordingly. Our responses to each reviewer’s questions are...","[weaknesses] 1- The author are recommended to discuss the accuracy degradation of quantized forward gradients compared to the backpropagation algorithm. In some cases, the accuracy degradation is high (more than 5%). A comparison of...","We would like to express our gratitude to the reviewers for their careful review of our paper, and their interest in the core idea of our work. We appreciate all the feedback, valuable suggestions and recommendations. The comments...","We would like to express our gratitude to the reviewers for their careful review of our paper, their interest in the core idea of our work, and valuable suggestions. The comments regarding the motivation, novelty, impact of our work, and..."
43,52,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,yCh1z6Dcto__r04,Stepping Forward on the Last Mile,unresolved,low,aligned_response_excerpt,1,issue_ledger,issue_ledger=unresolved; modernbert=fixed; mpnet=partially_fixed; structured=partially_fixed; tfidf=partially_fixed,weak_model_support;low_confidence;high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We would like to express our gratitude to the reviewers for their careful review of our paper, their interest in the core idea of our work, and valuable suggestions. The comments regarding the detailed experimental setups, precision used in the algorithm, explanations of enhancement mechanisms and notations are well taken, and the manuscript will be revised accordingly. Given the large number of experiments across...","[weaknesses] - It is unclear what is kept in full precision in the proposed procedure (see my questions below). - On a related note, it is also unclear that the proposed algorithm enhancements don't offset the advantages of manipulating...","We would like to express our gratitude to the reviewers for their careful review of our paper, their interest in the core idea of our work, and valuable suggestions. The comments regarding the detailed experimental setups, precision used...","We would like to express our gratitude to the reviewers for their careful review of our paper, their interest in the core idea of our work, and valuable suggestions. The comments regarding the motivation, novelty, impact of our work, and..."
44,35,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,eHzIwAhj06__r03,The Group Robustness is in the Details: Revisiting Finetuning under Spurious Correlations,regressed,low_medium,revision_summary,2,"mpnet,issue_ledger",issue_ledger=regressed; modernbert=fixed; mpnet=regressed; structured=fixed; tfidf=partially_fixed,regressed_label;high_model_disagreement,"Verify the alleged regression is caused by the response/revision, not just an unresolved original concern.","We graciously thank Reviewer E5Mf for their insightful comments and questions. We appreciate that the reviewer recognizes our comprehensive experiments which challenge existing notions in the literature and leverage previously unknown nuances to improve model performance. Below, we provide responses to each of the reviewer’s points, combining weaknesses and questions as appropriate. ## Weakness 1, Question 3 We...","[weaknesses] Limited empirical Evidence: Although the benchmark datasets are taken from prior work (Idrissi et. al) and indeed popular, most of the claims are substantiated by experiments on only three settings, in which the two baseline...",We graciously thank Reviewer E5Mf for their insightful comments and questions. We appreciate that the reviewer recognizes our comprehensive experiments which challenge existing notions in the literature and leverage previously unknown...,We graciously thank Reviewer E5Mf for their insightful comments and questions. We appreciate that the reviewer recognizes our comprehensive experiments which challenge existing notions in the literature and leverage previously unknown...
45,10,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,FZQYfmsmX9__r03,A Critical Evaluation of AI Feedback for Aligning Large Language Models,unresolved,low_medium,aligned_response_excerpt,2,"mpnet,issue_ledger",issue_ledger=unresolved; modernbert=fixed; mpnet=unresolved; structured=fixed; tfidf=partially_fixed,high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thanks for finding our paper well written, and our contributions for experimental design vital. We address your concerns and questions below: > However, it seems some of the take aways discussed in ""Current base LLMs are insufficiently responsive to AI feedback"" (pg. 7) could apply to LHF. Using strong LLMs as a proxy for humans is valid, and when the experiments are looked at from the perspective of the LAIF as...","[weaknesses] - Some of the motivation for the experiment set up is incongruous. The authors motivate the paper around the LAIF paradigm (not using LLMs as human proxies for algorithm development), and call out why the claims in the paper...","Thanks for finding our paper well written, and our contributions for experimental design vital. We address your concerns and questions below: > However, it seems some of the take aways discussed in ""Current base LLMs are insufficiently...",> 10% rule doesn’t always hold > Figures 4 and 7 show that the 10% threshold is ideal for certain models and settings. Have you experimented with a different percentage threshold? Thanks for noting this. Using an increasingly larger split...
46,10,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,JO6T4rEJ32__r04,Binding in hippocampal-entorhinal circuits enables compositionality in cognitive maps,unresolved,low_medium,aligned_response_excerpt,2,"mpnet,issue_ledger",issue_ledger=unresolved; modernbert=fixed; mpnet=unresolved; structured=fixed; tfidf=partially_fixed,high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"Thank you very much for your thoughtful review and accurate summary of its main points. We concur that the strengths listed: theory (proofs and experimental validation) for every part of the RNS model, in addition to testable hypotheses for experimental neuroscience, are the core results of the paper. We would like to clarify a few points regarding weaknesses/limitations of the paper and answer your questions. >...","[weaknesses] - There were several mention of compositionally as the motivation, but there is no direct analyses to show the effectiveness of model in compositionally - There is virtually no comparison to other models in terms of coding...","Thank you very much for your thoughtful review and accurate summary of its main points. We concur that the strengths listed: theory (proofs and experimental validation) for every part of the RNS model, in addition to testable hypotheses...","Thank you very much for your thoughtful review and accurate summary of its main points. We concur that the strengths listed: theory (proofs and experimental validation) for every part of the RNS model, in addition to testable hypotheses..."
47,10,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,YO6GVPUrKN__r03,On the Limitations of Fractal Dimension as a Measure of Generalization,unresolved,low_medium,aligned_response_excerpt,2,"modernbert,issue_ledger",issue_ledger=unresolved; modernbert=unresolved; mpnet=fixed; structured=fixed; tfidf=partially_fixed,high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We thank this reviewer for the careful review provided. We are very happy to see that they also appreciated the importance of evaluating existing work to “build upon solid foundations”. We would like to begin by addressing the weaknesses they identify. 1. **Discrepancy between our correlation coefficients and those in Dupuis et al. \[2023\]**: We appreciate the reviewer's observation, which prompted us to revise the...","[weaknesses] - In section 4.1, the experiments from [1] are carefully replicated. However, the observations do not match the ones from [1]. For example, for FCN-5 on CHD, a *negative* correlation score of $\rho = -0.7622$ is reported,...",We thank this reviewer for the careful review provided. We are very happy to see that they also appreciated the importance of evaluating existing work to “build upon solid foundations”. We would like to begin by addressing the weaknesses...,We thank this reviewer for their feedback and are happy to see that they found our conclusions “well-supported” and the text “well-written and organized.” We would like to first address the concern regarding the clarity of the PH dimension...
48,10,NeurIPS 2024 limit100 active frontier,provisional_assistant_adjudication_not_human_validation,YO6GVPUrKN__r04,On the Limitations of Fractal Dimension as a Measure of Generalization,unresolved,low_medium,aligned_response_excerpt,2,"modernbert,issue_ledger",issue_ledger=unresolved; modernbert=unresolved; mpnet=fixed; structured=fixed; tfidf=partially_fixed,high_model_disagreement,Check whether aligned response or revision summary contains a concrete fix that should change the label.,"We thank this referee for their careful, detailed feedback. We are pleased to see that they found our experiments “conducted with high quality”, the results “insightful”, “useful” and “relevant” to the community, and that they appreciated our discussion on limitations as a “role-model” on how these should be discussed. We now address the weaknesses identified. **W1. Readability.** We acknowledge that our study...",[weaknesses] W1- Readability. The work is not self-contained and heavily depends on information from other papers. This makes it tedious to study this work and requires the reader to frequently switch back and forth between multiple...,"We thank this referee for their careful, detailed feedback. We are pleased to see that they found our experiments “conducted with high quality”, the results “insightful”, “useful” and “relevant” to the community, and that they appreciated...",We thank this reviewer for their feedback and are happy to see that they found our conclusions “well-supported” and the text “well-written and organized.” We would like to first address the concern regarding the clarity of the PH dimension...
